## Generation 0 
{'collision': 22, 'dist_obj': -371.75523093284363, 'exit_reached': 0.0, 'robot_pos': [77.55358123779297, 431.340576171875, 0.520941972732544]}
{'collision': 80, 'dist_obj': -482.51303924819086, 'exit_reached': 0.0, 'robot_pos': [291.2721252441406, 483.47613525390625, -0.33231794834136963]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 54, 'dist_obj': -532.3117823043939, 'exit_reached': 0.0, 'robot_pos': [173.894775390625, 579.9844360351562, 1.1566029787063599]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146016597747803]}
{'collision': 166, 'dist_obj': -539.1780208795076, 'exit_reached': 0.0, 'robot_pos': [208.48997497558594, 578.3277587890625, 1.5252991914749146]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 28, 'dist_obj': -430.35722734669054, 'exit_reached': 0.0, 'robot_pos': [19.262672424316406, 488.4248046875, 2.3853981494903564]}
{'collision': 1000, 'dist_obj': -407.21555926777717, 'exit_reached': 0.0, 'robot_pos': [81.78565979003906, 466.63238525390625, -1.3675423860549927]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 92, 'dist_obj': -286.3807485992917, 'exit_reached': 0.0, 'robot_pos': [82.3089370727539, 345.510498046875, 0.577052116394043]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 24, 'dist_obj': -375.7499969774006, 'exit_reached': 0.0, 'robot_pos': [16.80509376525879, 433.25897216796875, -0.639703094959259]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 89, 'dist_obj': -394.72353981237796, 'exit_reached': 0.0, 'robot_pos': [286.1348876953125, 383.5269470214844, -0.8149930834770203]}
{'collision': 56, 'dist_obj': -536.1344419146316, 'exit_reached': 0.0, 'robot_pos': [190.10775756835938, 580.1077880859375, 0.7854006886482239]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -349.8757473674575, 'exit_reached': 0.0, 'robot_pos': [18.02876853942871, 407.34918212890625, 0.8121666312217712]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 55, 'dist_obj': -533.5710847899568, 'exit_reached': 0.0, 'robot_pos': [185.65029907226562, 578.5654296875, 0.8073593378067017]}
{'collision': 55, 'dist_obj': -269.30643046627955, 'exit_reached': 0.0, 'robot_pos': [17.020221710205078, 325.8546447753906, -1.8977869749069214]}
{'collision': 9, 'dist_obj': -390.0000000000022, 'exit_reached': 0.0, 'robot_pos': [59.99995803833008, 450.0, -2.814595937728882]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 16, 'dist_obj': -388.62324633199415, 'exit_reached': 0.0, 'robot_pos': [63.748924255371094, 448.60516357421875, 0.5022132396697998]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -520.6152512019141, 'exit_reached': 0.0, 'robot_pos': [145.5438232421875, 573.5391845703125, -0.036782193928956985]}
{'collision': 9, 'dist_obj': -389.99777222040876, 'exit_reached': 0.0, 'robot_pos': [59.998321533203125, 449.9977722167969, -2.8143045902252197]}
