## Generation 0 
{'collision': 10, 'dist_obj': -439.4249546940927, 'exit_reached': 0.0, 'robot_pos': [17.735734939575195, 497.3877258300781, 2.385819673538208]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 42, 'dist_obj': -326.8889823354859, 'exit_reached': 0.0, 'robot_pos': [18.276090621948242, 384.2152404785156, -2.8316783905029297]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 39, 'dist_obj': -486.9942763345846, 'exit_reached': 0.0, 'robot_pos': [18.106163024902344, 545.18896484375, 1.9853981733322144]}
{'collision': 24, 'dist_obj': -361.46999939267613, 'exit_reached': 0.0, 'robot_pos': [17.435640335083008, 418.9552001953125, 0.2531577944755554]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 29, 'dist_obj': -368.088709674623, 'exit_reached': 0.0, 'robot_pos': [19.860462188720703, 425.8935852050781, -2.5824971199035645]}
{'collision': 40, 'dist_obj': -490.91904467981, 'exit_reached': 0.0, 'robot_pos': [16.79376220703125, 549.0140380859375, 1.9823107719421387]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 55, 'dist_obj': -533.0820003847828, 'exit_reached': 0.0, 'robot_pos': [186.57821655273438, 577.8362426757812, 0.7974851131439209]}
{'collision': 1000, 'dist_obj': -436.99103134561267, 'exit_reached': 0.0, 'robot_pos': [80.17253875732422, 496.5251770019531, 2.6665332317352295]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 17, 'dist_obj': -389.8337712966105, 'exit_reached': 0.0, 'robot_pos': [59.18351745605469, 449.8329162597656, 1.2177844047546387]}
{'collision': 25, 'dist_obj': -350.1245396823153, 'exit_reached': 0.0, 'robot_pos': [17.620410919189453, 407.55023193359375, 0.7881563901901245]}
{'collision': 29, 'dist_obj': -371.8331486494361, 'exit_reached': 0.0, 'robot_pos': [16.75188636779785, 429.3094787597656, -2.688894033432007]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.15351377466556, 'exit_reached': 0.0, 'robot_pos': [17.573518753051758, 407.5736999511719, 0.785389244556427]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.134271578695, 'exit_reached': 0.0, 'robot_pos': [190.1070556640625, 580.1077880859375, 0.7854081988334656]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 50, 'dist_obj': -521.7377717767894, 'exit_reached': 0.0, 'robot_pos': [16.521953582763672, 579.9230346679688, 2.3845560550689697]}
{'collision': 1000, 'dist_obj': -376.5509838301522, 'exit_reached': 0.0, 'robot_pos': [54.24404525756836, 436.5069885253906, -1.714800238609314]}
{'collision': 28, 'dist_obj': -397.18901206819004, 'exit_reached': 0.0, 'robot_pos': [16.537689208984375, 454.8039245605469, -2.8555893898010254]}
