## Generation 0 
{'collision': 10, 'dist_obj': -350.1536707848514, 'exit_reached': 0.0, 'robot_pos': [17.57347297668457, 407.5738525390625, 0.7853832840919495]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 22, 'dist_obj': -374.1379073743494, 'exit_reached': 0.0, 'robot_pos': [82.04688262939453, 433.4877624511719, 0.5022463798522949]}
{'collision': 25, 'dist_obj': -350.0874358688582, 'exit_reached': 0.0, 'robot_pos': [17.68071937561035, 407.52020263671875, 0.7917073369026184]}
{'collision': 9, 'dist_obj': -390.00000000000017, 'exit_reached': 0.0, 'robot_pos': [60.0000114440918, 450.0, -1.8977901935577393]}
{'collision': 25, 'dist_obj': -350.15335052466503, 'exit_reached': 0.0, 'robot_pos': [17.57361602783203, 407.57354736328125, 0.7853996753692627]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853949666023254]}
{'collision': 25, 'dist_obj': -350.137876095205, 'exit_reached': 0.0, 'robot_pos': [17.598831176757812, 407.56103515625, 0.7868853211402893]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 1000, 'dist_obj': -488.7870578394294, 'exit_reached': 0.0, 'robot_pos': [150.1951904296875, 540.3931884765625, 0.8144740462303162]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.814600944519043]}
{'collision': 9, 'dist_obj': -389.9995422363417, 'exit_reached': 0.0, 'robot_pos': [60.00010299682617, 449.9995422363281, 1.986038327217102]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.2045472015513, 'exit_reached': 0.0, 'robot_pos': [17.549352645874023, 407.6221618652344, 0.7825371623039246]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 37, 'dist_obj': -462.3532206931755, 'exit_reached': 0.0, 'robot_pos': [18.584379196166992, 520.4945678710938, 2.389211654663086]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 96, 'dist_obj': -522.9958187789476, 'exit_reached': 0.0, 'robot_pos': [223.32847595214844, 556.8384399414062, 0.06022423505783081]}
{'collision': 35, 'dist_obj': -381.4029631868969, 'exit_reached': 0.0, 'robot_pos': [16.741392135620117, 438.94183349609375, -2.972892999649048]}
{'collision': 51, 'dist_obj': -528.191389544213, 'exit_reached': 0.0, 'robot_pos': [153.74176025390625, 579.8063354492188, 1.1833233833312988]}
{'collision': 65, 'dist_obj': -505.8707141477733, 'exit_reached': 0.0, 'robot_pos': [248.18014526367188, 529.5672607421875, 0.09236082434654236]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 187, 'dist_obj': -437.4006158006998, 'exit_reached': 0.0, 'robot_pos': [103.60430145263672, 495.22174072265625, -2.4295194149017334]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 43, 'dist_obj': -503.55911036618517, 'exit_reached': 0.0, 'robot_pos': [17.267518997192383, 561.74267578125, 1.9330686330795288]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -535.6970887172727, 'exit_reached': 0.0, 'robot_pos': [190.6017303466797, 579.5330200195312, 0.7798377871513367]}
{'collision': 1000, 'dist_obj': -338.1248784844241, 'exit_reached': 0.0, 'robot_pos': [85.53021240234375, 397.15966796875, 1.7057514190673828]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 1000, 'dist_obj': -378.61452434409466, 'exit_reached': 0.0, 'robot_pos': [90.5931167602539, 437.3764953613281, -1.6046189069747925]}
{'collision': 22, 'dist_obj': -365.14244786653626, 'exit_reached': 0.0, 'robot_pos': [78.2083740234375, 424.68817138671875, 0.11657863855361938]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 24, 'dist_obj': -394.68959153386106, 'exit_reached': 0.0, 'robot_pos': [74.32366943359375, 454.4295959472656, -0.9855400323867798]}
{'collision': 55, 'dist_obj': -533.3174606078371, 'exit_reached': 0.0, 'robot_pos': [186.2275390625, 578.1641845703125, 0.7965368032455444]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 56, 'dist_obj': -536.1350857525282, 'exit_reached': 0.0, 'robot_pos': [190.10723876953125, 580.1085815429688, 0.7854102849960327]}
{'collision': 41, 'dist_obj': -497.32606726438297, 'exit_reached': 0.0, 'robot_pos': [37.82578659057617, 556.8314819335938, -0.5509965419769287]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 57, 'dist_obj': -533.2234182401775, 'exit_reached': 0.0, 'robot_pos': [184.45359802246094, 578.4963989257812, 1.5786242485046387]}
{'collision': 48, 'dist_obj': -522.2148412596748, 'exit_reached': 0.0, 'robot_pos': [120.42802429199219, 578.7068481445312, 1.660630226135254]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.00009155274256, 'exit_reached': 0.0, 'robot_pos': [60.00008010864258, 450.0000915527344, -2.814588785171509]}
{'collision': 26, 'dist_obj': -390.29573186303895, 'exit_reached': 0.0, 'robot_pos': [20.040374755859375, 448.2447509765625, -3.0974197387695312]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 17, 'dist_obj': -389.9858398595413, 'exit_reached': 0.0, 'robot_pos': [59.996490478515625, 449.98583984375, 0.27005133032798767]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.814601182937622]}
{'collision': 30, 'dist_obj': -369.09105908342974, 'exit_reached': 0.0, 'robot_pos': [19.453746795654297, 426.8572082519531, -2.703679323196411]}
{'collision': 19, 'dist_obj': -389.49818567117546, 'exit_reached': 0.0, 'robot_pos': [66.20477294921875, 449.4487609863281, 1.3426692485809326]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 18, 'dist_obj': -391.76327002952115, 'exit_reached': 0.0, 'robot_pos': [61.0582160949707, 451.7618408203125, 0.07442718744277954]}
{'collision': 1000, 'dist_obj': -398.191145569311, 'exit_reached': 0.0, 'robot_pos': [52.829978942871094, 458.1265869140625, 2.0811996459960938]}
{'collision': 39, 'dist_obj': -486.9942763345846, 'exit_reached': 0.0, 'robot_pos': [18.106163024902344, 545.18896484375, 1.9853981733322144]}
{'collision': 25, 'dist_obj': -350.2732553700703, 'exit_reached': 0.0, 'robot_pos': [17.596332550048828, 407.6971130371094, 0.7814314961433411]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 102, 'dist_obj': -333.0768470345695, 'exit_reached': 0.0, 'robot_pos': [19.427318572998047, 390.59649658203125, -2.7504374980926514]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [59.999996185302734, 450.0, -2.8146018981933594]}
{'collision': 13, 'dist_obj': -389.9982299806443, 'exit_reached': 0.0, 'robot_pos': [60.000370025634766, 449.99822998046875, -0.2979702055454254]}
{'collision': 83, 'dist_obj': -490.58399569437654, 'exit_reached': 0.0, 'robot_pos': [274.7477111816406, 501.0851135253906, -0.7870579361915588]}
{'collision': 42, 'dist_obj': -302.7929016649032, 'exit_reached': 0.0, 'robot_pos': [17.003490447998047, 359.724609375, -2.0154201984405518]}
{'collision': 55, 'dist_obj': -532.991029338919, 'exit_reached': 0.0, 'robot_pos': [186.501708984375, 577.7612915039062, 0.8149124979972839]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 20, 'dist_obj': -395.36132122741674, 'exit_reached': 0.0, 'robot_pos': [65.97749328613281, 455.3161315917969, -0.1314588189125061]}
{'collision': 106, 'dist_obj': -435.25679872291744, 'exit_reached': 0.0, 'robot_pos': [321.6236267089844, 407.852783203125, -0.8917819261550903]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 24, 'dist_obj': -356.7592067422824, 'exit_reached': 0.0, 'robot_pos': [18.765657424926758, 414.3682556152344, 0.5359370112419128]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0004882813848, 'exit_reached': 0.0, 'robot_pos': [59.99967575073242, 450.00048828125, -1.8978666067123413]}
{'collision': 18, 'dist_obj': -384.6065423034979, 'exit_reached': 0.0, 'robot_pos': [70.40765380859375, 444.4656982421875, 0.5022139549255371]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -445.97443529692003, 'exit_reached': 0.0, 'robot_pos': [99.82085418701172, 504.1930847167969, -2.984048366546631]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 25, 'dist_obj': -350.1543136163779, 'exit_reached': 0.0, 'robot_pos': [17.57316780090332, 407.574462890625, 0.7853475213050842]}
{'collision': 9, 'dist_obj': -390.00018310555504, 'exit_reached': 0.0, 'robot_pos': [59.99974060058594, 450.00018310546875, -1.8978196382522583]}
{'collision': 9, 'dist_obj': -389.99749757920165, 'exit_reached': 0.0, 'robot_pos': [60.00400924682617, 449.99749755859375, -1.8986594676971436]}
{'collision': 56, 'dist_obj': -495.9478432103963, 'exit_reached': 0.0, 'robot_pos': [195.28732299804688, 537.1389770507812, 1.0563219785690308]}
{'collision': 9, 'dist_obj': -390.00000000000017, 'exit_reached': 0.0, 'robot_pos': [60.0000114440918, 450.0, -2.8145980834960938]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.00000000000017, 'exit_reached': 0.0, 'robot_pos': [59.9999885559082, 450.0, -1.897788166999817]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 1000, 'dist_obj': -453.92777648258686, 'exit_reached': 0.0, 'robot_pos': [110.48894500732422, 511.1111755371094, -2.129229784011841]}
## Generation 1 
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.000457763936, 'exit_reached': 0.0, 'robot_pos': [59.99954605102539, 450.0004577636719, -2.814495801925659]}
{'collision': 29, 'dist_obj': -388.6238755586931, 'exit_reached': 0.0, 'robot_pos': [18.67323875427246, 446.4202575683594, -2.667048454284668]}
{'collision': 56, 'dist_obj': -536.1344456175963, 'exit_reached': 0.0, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 42, 'dist_obj': -302.7929016649032, 'exit_reached': 0.0, 'robot_pos': [17.003490447998047, 359.724609375, -2.0154201984405518]}
{'collision': 56, 'dist_obj': -536.133561050893, 'exit_reached': 0.0, 'robot_pos': [190.1070556640625, 580.1070556640625, 0.7844308018684387]}
{'collision': 25, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'collision': 51, 'dist_obj': -528.191389544213, 'exit_reached': 0.0, 'robot_pos': [153.74176025390625, 579.8063354492188, 1.1833233833312988]}
{'collision': 9, 'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'collision': 56, 'dist_obj': -536.1350857525282, 'exit_reached': 0.0, 'robot_pos': [190.10723876953125, 580.1085815429688, 0.7854102849960327]}
{'collision': 83, 'dist_obj': -490.58399569437654, 'exit_reached': 0.0, 'robot_pos': [274.7477111816406, 501.0851135253906, -0.7870579957962036]}
